ratings_and_offers_id,ulta_id,rating,no_of_reviews,options,offers,date
165,165,4.00,20.0,,,08/23/2020
166,166,4.70,1103.0,,,08/23/2020
167,167,2.00,1.0,,Free Gift with Purchase!,08/23/2020
168,168,3.50,6.0,,,08/23/2020
169,169,5.00,1.0,,,08/23/2020
170,170,5.00,1.0,,Free Gift with Purchase!,08/23/2020
171,171,0,,,,08/23/2020
172,172,3.70,3.0,,,08/23/2020
173,173,0,,,,08/23/2020
174,174,3.30,3.0,,,08/23/2020
175,175,5.00,1.0,,Free Gift with Purchase!,08/23/2020
176,176,0,,,,08/23/2020
177,177,0,,2 Colors,,08/23/2020
178,178,3.70,68.0,,,08/23/2020
179,179,0,,12 Colors,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
180,180,3.50,10.0,,,08/23/2020
181,181,3.00,1.0,,,08/23/2020
182,182,0,,,,08/23/2020
183,183,0,,,Free Gift with Purchase!,08/23/2020
184,184,0,,,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
185,185,4.10,787.0,40 Colors,Free Gift with Purchase!,08/23/2020
186,186,4.00,133.0,2 Colors,,08/23/2020
187,187,4.30,409.0,,,08/23/2020
188,188,4.40,2918.0,44 Colors,Free Gift with Purchase!,08/23/2020
189,189,4.50,28.0,35 Colors,,08/23/2020
190,190,4.50,13.0,2 Colors,,08/23/2020
191,191,0,,,,08/23/2020
192,192,4.30,78.0,,,08/23/2020
193,193,4.10,774.0,26 Colors,Free Gift with Purchase!,08/23/2020
194,194,4.50,28.0,26 Colors,Free Gift with Purchase!,08/23/2020
195,195,4.50,55.0,6 Colors,Free Gift with Purchase!,08/23/2020
196,196,4.60,68.0,5 Colors,Free Gift with Purchase!,08/23/2020
197,197,4.40,185.0,,Free Gift with Purchase!,08/23/2020
198,198,4.20,112.0,,Free Gift with Purchase!,08/23/2020
199,199,4.20,112.0,,Free Gift with Purchase!,08/23/2020
200,200,4.80,13.0,5 Colors,Free Gift with Purchase!,08/23/2020
201,201,4.20,27.0,3 Colors,Free Gift with Purchase!,08/23/2020
202,202,4.70,15.0,,,08/23/2020
203,203,3.50,94.0,,,08/23/2020
204,204,0,,2 Colors,Free Gift with Purchase!,08/23/2020
205,205,5.00,2.0,,Free Gift with Purchase!,08/23/2020
206,206,4.60,748.0,,Free Gift with Purchase!,08/23/2020
207,207,4.80,4.0,,"Buy 1, get 1 at 50% off!",08/23/2020
208,208,4.60,748.0,,Free Gift with Purchase!,08/23/2020
209,209,4.50,12355.0,30 Colors,,08/23/2020
210,210,4.40,834.0,30 Colors,,08/23/2020
211,211,4.30,5507.0,43 Colors,,08/23/2020
212,212,4.30,956.0,31 Colors,,08/23/2020
213,213,4.00,402.0,40 Colors,,08/23/2020
214,214,4.30,312.0,30 Colors,,08/23/2020
215,215,4.20,4057.0,40 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
216,216,4.00,21.0,41 Colors,Free Gift with Purchase!,08/23/2020
217,217,4.20,904.0,16 Colors,,08/23/2020
218,218,4.20,164.0,21 Colors,Free Gift with Purchase!,08/23/2020
219,219,4.20,3299.0,18 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
220,220,4.30,611.0,2 Colors,,08/23/2020
221,221,4.40,1061.0,6 Colors,,08/23/2020
222,222,4.10,336.0,25 Colors,,08/23/2020
223,223,3.90,285.0,27 Colors,,08/23/2020
224,224,4.40,5207.0,14 Colors,Free Gift with Purchase!,08/23/2020
225,225,4.10,1870.0,45 Colors,,08/23/2020
226,226,3.80,214.0,24 Colors,Free Gift with Purchase!,08/23/2020
227,227,3.40,19.0,20 Colors,,08/23/2020
228,228,3.50,422.0,30 Colors,,08/23/2020
229,229,4.40,496.0,15 Colors,,08/23/2020
230,230,4.20,257.0,19 Colors,,08/23/2020
231,231,4.20,315.0,6 Colors,Free Gift with Purchase!,08/23/2020
232,232,4.40,553.0,14 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
233,233,4.10,426.0,31 Colors,,08/23/2020
234,234,4.40,1086.0,3 Colors,,08/23/2020
235,235,3.90,159.0,34 Colors,,08/23/2020
236,236,4.70,1728.0,4 Colors,,08/23/2020
237,237,4.50,940.0,25 Colors,,08/23/2020
238,238,3.80,871.0,25 Colors,,08/23/2020
239,239,4.40,321.0,14 Colors,,08/23/2020
240,240,4.10,1848.0,12 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
241,241,4.30,485.0,6 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
242,242,4.50,1170.0,,,08/23/2020
243,243,4.70,375.0,16 Colors,Free Gift with Purchase!,08/23/2020
244,244,4.00,1391.0,24 Colors,,08/23/2020
245,245,4.00,363.0,7 Colors,,08/23/2020
246,246,4.30,799.0,25 Colors,,08/23/2020
247,247,3.90,200.0,22 Colors,Free Gift with Purchase!,08/23/2020
248,248,4.40,335.0,13 Colors,,08/23/2020
249,249,4.40,1632.0,8 Colors,,08/23/2020
250,250,4.50,524.0,2 Colors,,08/23/2020
251,251,4.10,5346.0,22 Colors,,08/23/2020
252,252,4.20,288.0,6 Colors,Free Gift with Purchase!,08/23/2020
253,253,3.80,126.0,8 Colors,,08/23/2020
254,254,4.30,2083.0,5 Colors,"Buy 1, get 1 at 50% off!",08/23/2020
255,255,3.90,119.0,16 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
256,256,4.30,537.0,30 Colors,,08/23/2020
257,257,3.80,146.0,30 Colors,,08/23/2020
258,258,3.70,248.0,14 Colors,,08/23/2020
259,259,4.30,466.0,24 Colors,,08/23/2020
260,260,4.40,1054.0,22 Colors,Free Gift with Purchase!,08/23/2020
261,261,4.30,656.0,10 Colors,,08/23/2020
262,262,4.20,37.0,20 Colors,,08/23/2020
263,263,4.20,579.0,8 Colors,Free Gift with Purchase!,08/23/2020
264,264,4.00,125.0,12 Colors,,08/23/2020
265,265,4.40,86.0,30 Colors,,08/23/2020
266,266,4.50,88.0,7 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
267,267,3.90,18.0,30 Colors,,08/23/2020
268,268,3.70,24.0,15 Colors,,08/23/2020
269,269,4.40,107.0,3 Colors,,08/23/2020
270,270,4.30,26.0,4 Colors,,08/23/2020
271,271,4.60,517.0,,,08/23/2020
272,272,4.20,378.0,18 Colors,,08/23/2020
273,273,3.80,17.0,22 Colors,,08/23/2020
274,274,4.10,206.0,24 Colors,,08/23/2020
275,275,4.30,320.0,8 Colors,,08/23/2020
276,276,4.30,1012.0,19 Colors,,08/23/2020
277,277,4.10,382.0,4 Colors,"Buy 1, get 1 at 50% off!",08/23/2020
278,278,3.90,126.0,8 Colors,,08/23/2020
279,279,3.90,33.0,18 Colors,,08/23/2020
280,280,4.30,35.0,,,08/23/2020
281,281,4.00,574.0,18 Colors,,08/23/2020
282,282,4.60,22.0,30 Colors,,08/23/2020
283,283,4.50,276.0,5 Colors,,08/23/2020
284,284,4.20,31.0,18 Colors,,08/23/2020
285,285,4.40,339.0,12 Colors,,08/23/2020
286,286,3.90,104.0,20 Colors,,08/23/2020
287,287,4.10,595.0,5 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
288,288,4.00,126.0,16 Colors,"Buy 1, get 1 at 50% off!",08/23/2020
289,289,3.70,59.0,10 Colors,,08/23/2020
290,290,4.10,117.0,12 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
291,291,3.80,140.0,5 Colors,,08/23/2020
292,292,4.50,39.0,16 Colors,,08/23/2020
293,293,4.00,193.0,9 Colors,,08/23/2020
294,294,4.60,198.0,2 Colors,,08/23/2020
295,295,4.10,158.0,16 Colors,,08/23/2020
296,296,4.50,153.0,8 Colors,,08/23/2020
297,297,3.30,179.0,8 Colors,,08/23/2020
298,298,3.70,40.0,10 Colors,,08/23/2020
299,299,3.80,71.0,3 Colors,,08/23/2020
300,300,4.40,75.0,3 Colors,,08/23/2020
301,301,4.20,210.0,14 Colors,,08/23/2020
302,302,4.30,28.0,8 Colors,,08/23/2020
303,303,4.80,12.0,7 Colors,,08/23/2020
304,304,3.60,76.0,6 Colors,,08/23/2020
305,305,3.80,197.0,6 Colors,,08/23/2020
306,306,4.10,182.0,11 Colors,,08/23/2020
307,307,4.60,90.0,12 Colors,,08/23/2020
308,308,4.00,51.0,16 Colors,,08/23/2020
309,309,3.70,15.0,5 Colors,,08/23/2020
310,310,3.70,3.0,2 Colors,,08/23/2020
311,311,4.00,265.0,3 Colors,,08/23/2020
312,312,4.00,6.0,11 Colors,Free Gift with Purchase!,08/23/2020
313,313,4.70,21.0,7 Colors,,08/23/2020
314,314,4.40,660.0,4 Colors,,08/23/2020
315,315,4.30,90.0,10 Colors,,08/23/2020
316,316,4.10,15.0,8 Colors,,08/23/2020
317,317,3.10,9.0,4 Colors,,08/23/2020
318,318,3.60,32.0,14 Colors,,08/23/2020
319,319,3.40,17.0,3 Colors,,08/23/2020
320,320,3.40,180.0,6 Colors,,08/23/2020
321,321,4.40,165.0,2 Colors,,08/23/2020
322,322,3.70,71.0,3 Colors,,08/23/2020
323,323,3.90,91.0,6 Colors,,08/23/2020
324,324,4.10,41.0,11 Colors,,08/23/2020
325,325,4.50,2917.0,3 Colors,,08/23/2020
326,326,5.00,2.0,10 Colors,,08/23/2020
327,327,3.90,55.0,3 Colors,,08/23/2020
328,328,3.00,95.0,,,08/23/2020
329,329,4.20,6.0,12 Colors,,08/23/2020
330,330,3.80,6.0,,,08/23/2020
331,331,3.80,794.0,4 Colors,,08/23/2020
332,332,4.10,17.0,3 Colors,,08/23/2020
333,333,1.60,5.0,10 Colors,,08/23/2020
334,334,3.30,180.0,3 Colors,,08/23/2020
335,335,3.90,275.0,,,08/23/2020
336,336,4.40,1922.0,6 Colors,,08/23/2020
337,337,4.50,1466.0,4 Colors,Free Gift with Purchase!,08/23/2020
338,338,4.70,57.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
339,339,4.50,823.0,3 Colors,,08/23/2020
340,340,3.70,6.0,,Free Gift with Purchase!,08/23/2020
341,341,4.90,105.0,,Free Gift with Purchase!,08/23/2020
342,342,4.80,13.0,2 Colors,,08/23/2020
343,343,4.60,800.0,,Free Gift with Purchase!,08/23/2020
344,344,4.10,329.0,,Free Gift with Purchase!,08/23/2020
345,345,3.70,2033.0,4 Colors,,08/23/2020
346,346,3.90,29.0,3 Colors,,08/23/2020
347,347,4.70,353.0,2 Colors,,08/23/2020
348,348,4.60,3895.0,,,08/23/2020
349,349,4.40,767.0,8 Colors,,08/23/2020
350,350,4.70,100.0,,,08/23/2020
351,351,3.90,34.0,6 Colors,,08/23/2020
352,352,4.80,140.0,2 Colors,,08/23/2020
353,353,4.70,261.0,,,08/23/2020
354,354,4.60,398.0,,,08/23/2020
355,355,4.90,13.0,,Free Gift with Purchase!,08/23/2020
356,356,3.40,142.0,6 Colors,,08/23/2020
357,357,4.00,986.0,,"Buy 1, get 1 at 50% off!",08/23/2020
358,358,4.40,39.0,5 Colors,,08/23/2020
359,359,3.00,5.0,,,08/23/2020
360,360,4.10,14.0,2 Colors,,08/23/2020
361,361,4.50,120.0,6 Colors,,08/23/2020
362,362,4.20,1170.0,3 Colors,,08/23/2020
363,363,4.20,65.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
364,364,4.70,302.0,,,08/23/2020
365,365,4.30,59.0,3 Colors,Free Gift with Purchase!,08/23/2020
366,366,4.40,139.0,,"Buy 1, get 1 at 50% off!",08/23/2020
367,367,3.70,66.0,2 Colors,,08/23/2020
368,368,4.60,110.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
369,369,4.70,211.0,3 Colors,,08/23/2020
370,370,4.40,22.0,,,08/23/2020
371,371,5.00,3.0,,,08/23/2020
372,372,4.60,3895.0,,,08/23/2020
373,373,4.60,114.0,2 Colors,,08/23/2020
374,374,4.10,93.0,,,08/23/2020
375,375,4.60,127.0,5 Colors,,08/23/2020
376,376,4.70,3.0,,,08/23/2020
377,377,4.30,13.0,2 Colors,,08/23/2020
378,378,4.50,200.0,2 Colors,,08/23/2020
379,379,4.50,6.0,4 Colors,,08/23/2020
380,380,4.30,8.0,,,08/23/2020
381,381,3.90,49.0,,,08/23/2020
382,382,4.60,8.0,,,08/23/2020
383,383,4.80,32.0,,,08/23/2020
384,384,0,,,,08/23/2020
385,385,4.50,184.0,,,08/23/2020
386,386,4.20,68.0,,"Buy 2, get 1 FREE - Add 3 items to qualify!",08/23/2020
387,387,4.20,31.0,2 Colors,,08/23/2020
388,388,3.50,117.0,2 Colors,,08/23/2020
389,389,4.70,47.0,3 Colors,,08/23/2020
390,390,3.90,27.0,2 Colors,,08/23/2020
391,391,4.30,47.0,3 Colors,,08/23/2020
392,392,4.50,80.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
393,393,3.70,54.0,,,08/23/2020
394,394,4.40,103.0,3 Colors,,08/23/2020
395,395,4.70,24.0,,,08/23/2020
396,396,4.30,376.0,2 Colors,,08/23/2020
397,397,3.60,5.0,2 Colors,,08/23/2020
398,398,4.50,692.0,,,08/23/2020
399,399,4.30,76.0,2 Colors,,08/23/2020
400,400,4.50,2.0,,"Buy 1, get 1 at 50% off!",08/23/2020
401,401,5.00,5.0,,,08/23/2020
402,402,4.70,258.0,,,08/23/2020
403,403,4.30,112.0,5 Colors,,08/23/2020
404,404,4.50,2.0,,,08/23/2020
405,405,3.90,27.0,4 Colors,,08/23/2020
406,406,5.00,2.0,,,08/23/2020
407,407,4.80,45.0,2 Colors,,08/23/2020
408,408,3.90,19.0,2 Colors,,08/23/2020
409,409,4.30,201.0,3 Colors,"Buy 1, get 1 at 50% off!
						

									Free Gift with Purchase!",08/23/2020
410,410,4.10,82.0,,,08/23/2020
411,411,4.70,98.0,,,08/23/2020
412,412,5.00,2.0,,,08/23/2020
413,413,4.10,14.0,,,08/23/2020
414,414,4.90,10.0,,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
415,415,4.90,14.0,3 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
416,416,4.70,3.0,5 Colors,,08/23/2020
417,417,5.00,1.0,6 Colors,Free Gift with Purchase!,08/23/2020
418,418,5.00,1.0,,,08/23/2020
419,419,0.00,,4 Colors,"Buy 1, get 1 at 50% off!",08/23/2020
420,420,4.10,17.0,,,08/23/2020
421,421,3.30,67.0,8 Colors,,08/23/2020
422,422,3.50,4.0,2 Colors,,08/23/2020
423,423,4.20,52.0,,,08/23/2020
424,424,4.00,37.0,2 Colors,,08/23/2020
425,425,4.70,39.0,,,08/23/2020
426,426,2.90,7.0,,,08/23/2020
427,427,4.30,10.0,,,08/23/2020
428,428,3.40,68.0,4 Colors,,08/23/2020
429,429,4.00,8.0,2 Colors,,08/23/2020
430,430,4.90,8.0,,Free Gift with Purchase!,08/23/2020
431,431,3.90,8.0,2 Colors,,08/23/2020
432,432,3.90,27.0,4 Colors,,08/23/2020
433,433,4.50,2.0,,,08/23/2020
434,434,4.60,36.0,4 Colors,,08/23/2020
435,435,4.80,37.0,,,08/23/2020
436,436,5.00,1.0,,,08/23/2020
437,437,5.00,21.0,,,08/23/2020
438,438,4.70,60.0,,,08/23/2020
439,439,5.00,2.0,,,08/23/2020
440,440,3.40,69.0,,,08/23/2020
441,441,4.50,104.0,2 Colors,,08/23/2020
442,442,4.20,24.0,,,08/23/2020
443,443,4.80,4.0,,,08/23/2020
444,444,3.90,8.0,,,08/23/2020
445,445,4.20,165.0,4 Colors,,08/23/2020
446,446,3.70,9.0,3 Colors,,08/23/2020
447,447,4.60,1509.0,,,08/23/2020
448,448,4.30,36.0,,,08/23/2020
449,449,2.80,119.0,,,08/23/2020
450,450,4.00,2.0,2 Colors,,08/23/2020
451,451,4.80,41.0,,,08/23/2020
452,452,4.70,98.0,,,08/23/2020
453,453,3.00,1.0,,,08/23/2020
454,454,3.50,22.0,,,08/23/2020
455,455,3.70,27.0,4 Colors,,08/23/2020
456,456,5.00,2.0,,,08/23/2020
457,457,4.60,64.0,,,08/23/2020
458,458,4.40,22.0,2 Colors,,08/23/2020
459,459,4.60,5.0,,,08/23/2020
460,460,4.20,5.0,,,08/23/2020
461,461,3.60,5.0,2 Colors,,08/23/2020
462,462,4.10,8.0,,,08/23/2020
463,463,4.10,31.0,,,08/23/2020
464,464,4.50,234.0,3 Colors,,08/23/2020
465,465,4.60,13816.0,30 Colors,Free Gift with Purchase!,08/23/2020
466,466,4.40,449.0,13 Colors,,08/23/2020
467,467,4.50,6745.0,30 Colors,Free Gift with Purchase!,08/23/2020
468,468,4.50,424.0,14 Colors,,08/23/2020
469,469,4.30,1660.0,,,08/23/2020
470,470,4.60,345.0,10 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
471,471,4.10,2377.0,,,08/23/2020
472,472,4.30,1231.0,,,08/23/2020
473,473,4.40,990.0,3 Colors,Free Gift with Purchase!,08/23/2020
474,474,4.60,4361.0,2 Sizes,,08/23/2020
475,475,4.30,392.0,5 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
476,476,3.60,86.0,7 Colors,,08/23/2020
477,477,3.70,144.0,15 Colors,,08/23/2020
478,478,4.60,232.0,6 Colors,"Online Only Purchase $50 in Clinique product and get a Instant Refresh Set (sku 2569576) for $15 (offer valid 8/2/20-8/31/20)!
						

									Free Gift with Purchase!",08/23/2020
479,479,4.10,137.0,2 Colors,,08/23/2020
480,480,3.60,141.0,15 Colors,,08/23/2020
481,481,3.60,390.0,6 Colors,,08/23/2020
482,482,4.40,294.0,6 Colors,,08/23/2020
483,483,4.20,588.0,2 Colors,,08/23/2020
